"country","sftgcode","year","yrborn","yrdied","reg.eap","reg.afr","reg.eur","reg.mna","reg.sca","reg.amr","dosreg","mkl.start","mkl.end","mkl.ongoing","mkl.type","mkl.ever","wdi.trade","wdi.gdppcppp","wdi.gdppc","wdi.gdppcgrow","wdi.inflation","wdi.cpi","wdi.popsize","wdi.popurb","wdi.popgrow","wdi.popdens","wdi.pop014","wdi.miltot","wdi.milpct","wdi.forest","wdi.minerals","wdi.energy","wdi.mobiles","wdi.imrate","cmm.succ","cmm.fail","cmm.plot","cmm.rumr","cpt.succ","cpt.fail","pol.democ","pol.autoc","pol.polity","pol.polity2","pol.durable","pol.xrreg","pol.xrcomp","pol.xropen","pol.xconst","pol.parreg","pol.parcomp","pol.exrec","pol.exconst","pol.polcomp","pit.rev.magfight","pit.rev.magfatal","pit.rev.magarea","pit.rev.magave","pit.rev.ongoing","pit.rev.onset","pit.rev.end","pit.rev.dur","pit.eth.magfight","pit.eth.magfatal","pit.eth.magarea","pit.eth.magave","pit.eth.ongoing","pit.eth.onset","pit.eth.end","pit.eth.dur","pit.gen.deathmag","pit.gen.ongoing","pit.gen.onset","pit.gen.end","pit.gen.dur","pit.reg.magfail","pit.reg.magcol","pit.reg.magviol","pit.reg.magave","pit.reg.ongoing","pit.reg.onset","pit.reg.end","pit.reg.dur","mev.ind","mev.intind","mev.intviol","mev.intwar","mev.civviol","mev.civwar","mev.ethviol","mev.ethwar","mev.inttot","mev.civtot","mev.actotal","mev.nborder","mev.region","ios.eu","ios.nato","ios.natopfp","ios.osce","ios.oecd","ios.coe","ios.comnw","ios.franc","ios.geneva","ios.gattwto","ios.apec","ios.asean","ios.seato","ios.oas","ios.mercosur","ios.opec","ios.arablg","ios.oau","ios.ecowas","ios.iccpr","ios.iccpr1","ios.achr","ios.achpr","ios.icj","ios.oic","imr.raw","imr.normed","elc.eleth","elc.eliti","dis.gcode1","dis.gprop1","dis.pdis1","dis.edis1","dis.gcode2","dis.gprop2","dis.pdis2","dis.edis2","dis.gcode3","dis.gprop3","dis.pdis3","dis.edis3","dis.gcode4","dis.gprop4","dis.pdis4","dis.edis4","dis.gcode5","dis.gprop5","dis.pdis5","dis.edis5","dis.gcode6","dis.gprop6","dis.pdis6","dis.edis6","dis.gcode7","dis.gprop7","dis.pdis7","dis.edis7","dis.gcode8","dis.gprop8","dis.pdis8","dis.edis8","dis.gcode9","dis.gprop9","dis.pdis9","dis.edis9","dis.gcode10","dis.gprop10","dis.pdis10","dis.edis10","dis.gcode11","dis.gprop11","dis.pdis11","dis.edis11","dis.gcode12","dis.gprop12","dis.pdis12","dis.edis12","dis.gcode13","dis.gprop13","dis.pdis13","dis.edis13","dis.gcode14","dis.gprop14","dis.pdis14","dis.edis14","dis.gcode15","dis.gprop15","dis.pdis15","dis.edis15","dis.gcode16","dis.gprop16","dis.pdis16","dis.edis16","dis.gcode17","dis.gprop17","dis.pdis17","dis.edis17","dis.gcode18","dis.gprop18","dis.pdis18","dis.edis18","dis.gcode19","dis.gprop19","dis.pdis19","dis.edis19","dis.gcode20","dis.gprop20","dis.pdis20","dis.edis20","elf.ethnic","elf.language","elf.religion","imf.gdppc","mkl.start.1","countryage","countryage.ln","postcw","wdi.popsize.ln","wdi.trade.ln","pol.cat.fl","pol.cat.pitf","pol.cat.fl1","pol.cat.fl2","pol.cat.fl3","pol.cat.fl7","pol.cat.pitf1","pol.cat.pitf2","pol.cat.pitf3","pol.cat.pitf4","pol.cat.pitf5","pol.cat.pitf6","pol.durable.ln","elc.elethc","elc.eleth2","elc.eleth1","cou.s.d","cou.f.d","cou.a.d","cou.tries5d","cou.a.d.1","elf.ethnicc","elf.ethnicc1","elf.ethnicc2","elf.ethnicc3","elf.ethnicc9","pit.any.onset","pit.any.onset.1","pit.any.ongoing","pit.cwar.onset","pit.cwar.onset.1","pit.dur.min","pit.dur.max","pit.reg.max","pit.eth.max","pit.rev.max","pit.mag.max","pit.sftpuhvl2.10","pit.sftpuhvl2.10.ln","pit.reg.dur.ln","pit.eth.dur.ln","pit.rev.dur.ln","pit.dur.min.ln","dis.l4pop","dis.l4pop.ln","imr.normed.ln","NA.","mev.regac","mev.regac.ln","mev.civtotc","mev.civtot.ln","imf.gdppcgrow","gdppcgrow","gdppcgrow.sr","slowgrowth","t.reserve","t.reserve.ln","t.re.growth"
"Afghanistan","AFG",1977,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,0,0,0,26.4860798295929,NA,NA,NA,NA,NA,13056499,14.487,1.73937649641949,19.9989262629048,45.6776123522853,NA,NA,0.217915624512178,0,0.367955656718937,0,178.7,0,0,0,0,0,0,0,1,-7,-7,13,2,0,0,1,4,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,184.3,2.2727328771,1,0,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,1,58,4.07753744390572,0,9.47704129644901,3.27661930553002,1,"A/F",1,0,0,0,1,0,0,0,0,0,2.63905732961526,1,0,1,0,0,0,0,1,3,0,0,1,0,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0.82098301799079,0,15,2.77258872223978,0,0,NA,NA,NA,NA,431038860.3,19.8817088071126,NA
"Afghanistan","AFG",1978,1919,9999,0,0,0,0,1,0,"South & Central Asia",1,0,1,1,1,24.7138040330125,NA,NA,NA,NA,NA,13222547,14.958,1.26374610319773,20.2532656312226,45.8665943860892,NA,NA,0.273128749264056,0,0.235771934063146,0,174.5,1,0,0,0,1,0,-77,0,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,2,4,"2.5",1,1,0,1,0,0,0,0,0,0,0,0,3,1,1,0,1,2,1,4,2.5,1,1,0,1,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,187.9,2.4787598945,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,59,4.0943445622221,0,9.48967875748099,3.20736195525882,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,3,0,0,1,0,1,0,1,1,0,1,1,4,0,4,4,4,1.6094379124341,0.693147180559945,0,0.693147180559945,0.693147180559945,0.06,1.94591014905531,0.907758392573604,0,17,2.89037175789616,1,2.07944154167984,NA,NA,NA,NA,605029036.48565,20.2207870090346,0.40365310929171
"Afghanistan","AFG",1979,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,13283279,15.435,0.458254772212466,20.3462901694084,45.9739872963596,NA,NA,0.209555210809039,0,0.38863511802736,0,170.4,2,1,0,0,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,2,0,0,0,0,0,0,0,0,3.5,1,0,0,2,2,1,4,2.5,1,0,1,2,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191.5,2.6392335263,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,60,4.11087386417331,0,9.49426130520312,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,3,0,0,1,0,0,0,1,0,0,2,2,4,0,4,4,4,1.6094379124341,1.09861228866811,0,1.09861228866811,1.09861228866811,0.06,1.94591014905531,0.970488544057066,0,24,3.2188758248682,1,2.07944154167984,NA,NA,NA,NA,934778990.47715,20.655820685491,0.545015088708591
"Afghanistan","AFG",1980,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,13211412,15.681,-0.542502467827066,20.2362099071776,45.9500695307965,NA,NA,0.217337937536082,0,0.370678785953628,0,166.1,0,0,0,0,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,3,0,0,0,0,0,0,0,0,3.5,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191.2,2.7921139102,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,61,4.12713438504509,0,9.48883628052485,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,3,3,0,0,4,4,4,1.6094379124341,0,0,1.38629436111989,1.38629436111989,0.06,1.94591014905531,1.02679898285011,0,28,3.36729582998647,1,2.07944154167984,NA,NA,NA,NA,940035897.87281,20.6614286217255,0.00562369014410202
"Afghanistan","AFG",1981,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,12996923,15.93,-1.63683644049085,19.9076723953068,46.220324610679,NA,NA,0.15983310394347,0,0.338635977530555,0,161.8,0,0,0,0,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,4,0,0,0,0,0,0,0,0,3.5,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190.9,2.9466049383,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,62,4.14313472639153,0,9.47246791611994,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,4,4,0,0,4,4,4,1.6094379124341,0,0,1.6094379124341,1.6094379124341,0.06,1.94591014905531,1.08065363922129,0,28,3.36729582998647,1,2.07944154167984,NA,NA,NA,NA,657880925.16863,20.3045345081242,-0.300153401952695
"Afghanistan","AFG",1982,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,12667001,16.182,-2.57123716910161,19.4023236222161,46.4592684566773,NA,NA,NA,NA,NA,0,157.5,0,0,0,0,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,5,0,0,0,0,0,0,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190.7,3.1155951311,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,63,4.15888308335967,0,9.44675554442892,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,5,5,0,0,4,4,4,1.6094379124341,0,0,1.79175946922805,1.79175946922805,0.06,1.94591014905531,1.13642018731369,0,28,3.36729582998647,1,2.07944154167984,NA,NA,NA,NA,698660883.668365,20.3646760375106,0.0619868382553912
"Afghanistan","AFG",1983,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,12279095,16.437,-3.11020425119532,18.8081594828907,46.6775116570073,NA,NA,NA,NA,NA,0,153.2,0,0,0,0,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,6,0,0,0,0,0,0,0,0,4,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,190.4,3.237779478,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,64,4.17438726989564,0,9.41565350191697,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,6,6,0,0,4,4,4,1.6094379124341,0,0,1.94591014905531,1.94591014905531,0.06,1.94591014905531,1.17488774855081,0,40,3.71357206670431,1,2.07944154167984,NA,NA,NA,NA,582310951.48523,20.1825151439209,-0.166532769907243
"Afghanistan","AFG",1984,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,11912510,16.696,-3.03091145005073,18.2466531875134,46.9292281811306,NA,NA,NA,NA,NA,0,148.7,0,0,0,0,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,7,0,0,0,0,0,0,0,0,4.5,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,187.3,3.2889630345,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,65,4.18965474202643,0,9.38534438741646,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,7,7,0,0,4,4,4,1.6094379124341,0,0,2.07944154167984,2.07944154167984,0.06,1.94591014905531,1.19057232801333,0,38,3.66356164612965,1,2.07944154167984,NA,NA,NA,NA,526217145.099035,20.0812245088961,-0.0963296435403168
"Afghanistan","AFG",1985,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,11630498,16.958,-2.39583225281649,17.8146892136139,47.2965731991872,47000,NA,NA,NA,NA,0,144.5,0,0,0,0,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,8,0,0,0,0,0,0,0,0,4.5,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,184.2,3.3106857194,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,66,4.20469261939097,0,9.3613860648883,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,8,8,0,0,4,4,4,1.6094379124341,0,0,2.19722457733622,2.19722457733622,0.06,1.94591014905531,1.19715533391494,0,38,3.66356164612965,1,2.07944154167984,NA,NA,NA,NA,610761760.78276,20.2302175242127,0.160664882304079
"Afghanistan","AFG",1986,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,11438949,17.223,-1.66066748042414,17.5212894035475,47.4603654584001,NA,NA,NA,NA,NA,0,140.2,0,0,0,0,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,9,0,0,0,0,0,0,0,0,4,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,181.1,3.4254916793,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,67,4.21950770517611,0,9.34477939008405,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,9,9,0,0,4,4,4,1.6094379124341,0,0,2.30258509299405,2.30258509299405,0.06,1.94591014905531,1.23124501741101,0,35,3.58351893845611,1,2.07944154167984,NA,NA,NA,NA,635742033.2,20.2703034308471,0.0409001905836819
"Afghanistan","AFG",1987,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,11337932,17.491,-0.88701927482184,17.3665594461293,47.5241163908903,NA,NA,NA,NA,NA,0,135.7,0,0,0,1,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,10,0,0,0,0,0,0,0,0,4,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,178.1,3.4621963071,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,68,4.23410650459726,0,9.33590919733584,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,10,10,0,0,4,4,4,1.6094379124341,0,0,2.39789527279837,2.39789527279837,0.06,1.94591014905531,1.24190315852599,0,40,3.71357206670431,1,2.07944154167984,NA,NA,NA,NA,746832931,20.4313520648032,0.174742099780355
"Afghanistan","AFG",1988,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,11375768,17.763,0.333156068769734,17.4245136782771,47.5705816082044,NA,NA,NA,NA,NA,0,131.3,0,0,0,0,0,0,-66,0,-66,NA,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,4,3,4,"3.5",1,0,0,11,0,0,0,0,0,0,0,0,3.5,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,174.6,3.504968383,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,69,4.24849524204936,0,9.33924075802353,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,11,11,0,0,4,4,4,1.6094379124341,0,0,2.484906649788,2.484906649788,0.06,1.94591014905531,1.25418149990379,0,39,3.68887945411394,1,2.07944154167984,NA,NA,NA,NA,657015502,20.3032181712999,-0.120264419620243
"Afghanistan","AFG",1989,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,11608351,18.038,2.02392738503965,17.7807661673253,47.7122030510621,55000,NA,NA,NA,NA,0,126.8,0,0,0,0,0,0,0,1,-8,-8,0,2,1,4,2,4,1,3,2,1,4,4,4,"4",1,0,0,12,0,0,0,0,0,0,0,0,3.5,1,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,171.1,3.6624933119,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,70,4.26267987704132,0,9.35948003187393,NA,1,"A/F",1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,12,12,0,0,4,4,4,1.6094379124341,0,0,2.56494935746154,2.56494935746154,0.06,1.94591014905531,1.29814414823913,0,32,3.49650756146648,1,2.07944154167984,NA,NA,NA,NA,630659655.2,20.2622769012986,-0.0401144976332689
"Afghanistan","AFG",1990,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,12067570,18.316,3.87969363482663,18.4841619949147,48.0651697069087,58000,1.81455782197999,NA,NA,NA,0,122.5,0,1,0,0,0,1,0,1,-8,-8,1,2,1,4,2,4,1,3,2,1,4,3,4,"3.5",1,0,0,13,0,0,0,0,0,0,0,0,3.5,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,167.7,3.7273333333,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,71,4.27666611901606,0,9.39827696822219,NA,1,"A/F",1,0,0,0,1,0,0,0,0,0,0.693147180559945,1,0,1,0,1,1,1,0,3,0,0,1,0,0,0,1,0,0,13,13,0,0,4,4,4,1.6094379124341,0,0,2.63905732961526,2.63905732961526,0.06,1.94591014905531,1.3156930539274,0,35,3.58351893845611,1,2.07944154167984,NA,NA,NA,NA,637925698.4,20.273732374339,0.0115213382370174
"Afghanistan","AFG",1991,1919,9999,0,0,0,0,1,0,"South & Central Asia",0,0,1,0,1,NA,NA,NA,NA,NA,NA,12789374,18.597,5.80929806649916,19.5897650338511,48.0294500731623,45000,1.32586605570759,NA,NA,NA,0,118.3,0,0,0,0,0,0,0,1,-8,-8,2,2,1,4,2,4,1,3,2,1,4,3,4,"3.5",1,0,0,14,0,0,0,0,0,0,0,0,3.5,1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,7,7,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,164.4,3.6897867565,1,1,70002,0.38,0,0,70003,0.25,3,0,70001,0.19,3,2,70004,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,1,72,4.29045944114839,1,9.45636994888719,NA,1,"A/F",1,0,0,0,1,0,0,0,0,0,1.09861228866811,1,0,1,0,0,0,1,1,3,0,0,1,0,0,1,1,0,1,14,14,0,0,4,4,4,1.6094379124341,0,0,2.70805020110221,2.70805020110221,0.06,1.94591014905531,1.30556866681616,0,34,3.55534806148941,1,2.07944154167984,NA,NA,NA,NA,576118910.8,20.171824639715,-0.0968871261261608
"Afghanistan","AFG",1992,1919,9999,0,0,0,0,1,0,"South & Central Asia",1,1,1,1,1,NA,NA,NA,NA,NA,NA,13745630,18.882,7.21062855108107,21.0544833501823,47.9805654597134,45000,1.23063695307417,NA,NA,NA,0,114.4,1,0,0,0,1,0,-77,0,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,4,3,4,"3.5",1,0,1,15,4,3,4,3.5,1,1,0,1,3.5,1,0,1,15,4,1,4,3,1,1,0,1,1,0,0,0,0,7,0,0,0,7,7,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,162.5,3.9296081277,2,1,70002,0.38,4,0,70003,0.25,0,0,70001,0.19,0,2,70004,0.06,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.61,0.27,NA,0,73,4.30406509320417,1,9.528476234398,NA,7,"other",0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,3,0,0,1,0,1,0,1,1,0,1,15,4,4,4,4,4,1.6094379124341,0.693147180559945,0.693147180559945,2.77258872223978,0.693147180559945,0.38,3.66356164612965,1.36853970785606,0,37,3.63758615972639,1,2.07944154167984,NA,NA,NA,NA,NA,NA,NA
